crew_id,first_name,last_name,role,airline_id,hire_date,status,license_number,base_airport_id
CRW000647,Mohammed,Hernandez,First Officer,AL0007,2007-09-10,Active,LIC-747195,APT00051
CRW000648,Paul,Oliveira,Purser,AL0020,2004-11-06,Active,LIC-425496,APT00062
CRW000649,Stephen,Suzuki,Flight Attendant,AL0018,2025-11-17,On Leave,LIC-123536,APT00223
CRW000650,Frank,Costa,Flight Attendant,AL0012,2024-02-02,Active,LIC-953742,APT00088
CRW000651,Elena,Ivanov,First Officer,AL0001,2012-07-14,Active,LIC-789392,APT00101
CRW000652,James,Ramirez,Purser,AL0012,2024-11-02,On Leave,LIC-140302,APT00002
CRW000653,Dmitri,Hill,Captain,AL0014,2002-03-10,Inactive,LIC-129588,APT00076
CRW000654,Kevin,Kowalski,Purser,AL0008,2026-03-01,Active,LIC-577058,APT00088
CRW000655,Jessica,Andersson,Flight Attendant,AL0003,2009-01-16,Inactive,LIC-960930,APT00180
CRW000656,Brenda,Adams,Flight Attendant,AL0012,2009-12-19,Active,LIC-620031,APT00030
CRW000657,Janet,Kowalski,First Officer,AL0017,1996-08-03,Active,LIC-109644,APT00233
CRW000658,Jessica,Ramirez,Captain,AL0007,2000-07-29,On Leave,LIC-729346,APT00033
CRW000659,Robert,King,Flight Attendant,AL0010,2001-02-08,Active,LIC-484996,APT00164
CRW000660,Mohammed,Kowalski,Flight Attendant,AL0001,2010-05-01,Active,LIC-674860,APT00002
CRW000661,Sofia,Walker,Captain,AL0015,2000-12-17,Inactive,LIC-415298,APT00205
CRW000662,Charles,Schmidt,Flight Attendant,AL0018,1998-03-20,Active,LIC-107325,APT00175
CRW000663,Olga,Torres,Captain,AL0016,2014-01-04,Active,LIC-116518,APT00210
CRW000664,Ivan,White,Purser,AL0009,2022-05-31,On Leave,LIC-668671,APT00233
CRW000665,Freya,Moore,Flight Attendant,AL0001,1997-03-13,Active,LIC-671652,APT00209
CRW000666,Margaret,Carter,Flight Attendant,AL0010,2012-08-11,On Leave,LIC-390148,APT00156
CRW000667,Helen,Hill,Flight Attendant,AL0019,2025-03-03,Active,LIC-174067,APT00210
CRW000668,Freya,Robinson,Flight Attendant,AL0002,2007-09-16,Active,LIC-795581,APT00025
CRW000669,Olga,Muller,First Officer,AL0005,2000-09-30,Active,LIC-236115,APT00162
CRW000670,Larry,Smith,Flight Attendant,AL0017,1997-07-01,Inactive,LIC-269528,APT00248
CRW000671,Lisa,Davis,Purser,AL0012,2024-06-01,Active,LIC-507108,APT00095
CRW000672,David,Oliveira,Purser,AL0004,2007-09-25,Inactive,LIC-744584,APT00244
CRW000673,Ashley,Wang,Flight Attendant,AL0001,1998-04-21,Active,LIC-995610,APT00127
CRW000674,Linda,Baker,First Officer,AL0009,2022-03-19,Active,LIC-662945,APT00118
CRW000675,Lisa,Johnson,Captain,AL0012,2020-03-13,Inactive,LIC-964351,APT00076
CRW000676,William,Mitchell,Flight Attendant,AL0017,2017-02-05,Active,LIC-687061,APT00027
CRW000677,Carolyn,Wright,Flight Attendant,AL0018,1997-08-25,Inactive,LIC-863097,APT00220
CRW000678,Stephen,Mitchell,Flight Attendant,AL0010,1997-08-04,On Leave,LIC-258352,APT00181
CRW000679,Gary,Brown,Captain,AL0009,2001-11-16,On Leave,LIC-150747,APT00101
CRW000680,Maria,Hall,Flight Attendant,AL0019,2000-01-09,Active,LIC-702255,APT00241
CRW000681,Deborah,Campbell,First Officer,AL0016,2011-09-17,Inactive,LIC-977632,APT00046
CRW000682,Timothy,White,Flight Attendant,AL0005,2007-04-29,Inactive,LIC-763279,APT00195
CRW000683,Matthew,Jones,Flight Attendant,AL0014,2019-01-17,Active,LIC-408872,APT00114
CRW000684,Rebecca,Pereira,Flight Attendant,AL0015,1998-03-09,Active,LIC-540468,APT00157
CRW000685,Christopher,Khan,Flight Attendant,AL0005,2017-11-14,Active,LIC-200989,APT00010
CRW000686,Stephen,Roberts,First Officer,AL0020,2024-05-06,Active,LIC-406328,APT00153
CRW000687,Freya,Rossi,Captain,AL0006,1999-02-07,Active,LIC-714631,APT00170
CRW000688,Amy,Wang,Flight Attendant,AL0011,2015-06-30,Active,LIC-249899,APT00245
CRW000689,Kimberly,Hernandez,Flight Attendant,AL0010,2010-12-28,Active,LIC-533455,APT00087
CRW000690,Samuel,Torres,Captain,AL0014,1997-12-24,Active,LIC-360964,APT00019
CRW000691,Jerry,Watanabe,Purser,AL0019,2004-03-14,On Leave,LIC-541730,APT00016
CRW000692,Jeffrey,White,Purser,AL0008,2019-10-04,Inactive,LIC-787444,APT00038
CRW000693,Donald,Pereira,First Officer,AL0008,2022-04-20,Active,LIC-896385,APT00075
CRW000694,Christine,Garcia,Flight Attendant,AL0016,2006-07-29,Active,LIC-468460,APT00208
CRW000695,Daniel,Clark,First Officer,AL0020,1998-05-07,Active,LIC-844457,APT00049
CRW000696,Freya,Lewis,Purser,AL0019,2002-09-10,Inactive,LIC-732441,APT00037
CRW000697,Joshua,Roberts,Flight Attendant,AL0016,2021-07-01,Active,LIC-929626,APT00008
CRW000698,Kevin,Anderson,Purser,AL0015,2012-11-27,Active,LIC-766081,APT00096
CRW000699,Debra,Jackson,Captain,AL0016,2008-07-10,Active,LIC-595732,APT00151
CRW000700,Mary,Chen,Flight Attendant,AL0019,1995-06-03,On Leave,LIC-706752,APT00071
CRW000701,Matthew,Thompson,First Officer,AL0001,2019-08-04,Active,LIC-385890,APT00124
CRW000702,Jessica,Suzuki,Flight Attendant,AL0012,2009-08-15,Inactive,LIC-706183,APT00061
CRW000703,George,Tanaka,Flight Attendant,AL0001,2012-02-17,Active,LIC-737988,APT00201
CRW000704,Eric,Harris,Flight Attendant,AL0012,2021-07-05,Active,LIC-649726,APT00007
CRW000705,Nancy,Hall,Captain,AL0008,2012-09-01,Active,LIC-192707,APT00051
CRW000706,Michelle,Clark,Flight Attendant,AL0007,2024-02-27,Active,LIC-566579,APT00142
CRW000707,Patrick,Ramirez,Flight Attendant,AL0018,2012-07-30,Inactive,LIC-739792,APT00211
CRW000708,Sofia,Wang,Purser,AL0015,2005-10-05,Inactive,LIC-278034,APT00101
CRW000709,Mary,White,Flight Attendant,AL0012,2023-12-27,Active,LIC-808642,APT00018
CRW000710,Pamela,Lopez,Flight Attendant,AL0018,2015-03-08,Inactive,LIC-858522,APT00138
CRW000711,Patricia,Lee,Flight Attendant,AL0002,2018-11-21,Active,LIC-584852,APT00068
CRW000712,Gary,Choi,First Officer,AL0013,2002-02-15,Active,LIC-967836,APT00077
CRW000713,Fatima,Lee,Flight Attendant,AL0004,2016-01-31,Inactive,LIC-872048,APT00231
CRW000714,Catherine,Robinson,First Officer,AL0005,2012-08-07,Active,LIC-519835,APT00236
CRW000715,Betty,Kim,Captain,AL0004,1998-04-22,Active,LIC-895890,APT00065
CRW000716,Ashley,Rodriguez,Purser,AL0011,2002-12-24,Inactive,LIC-939913,APT00148
CRW000717,Jack,Perez,Captain,AL0013,2023-08-23,On Leave,LIC-197326,APT00136
CRW000718,Jerry,Wilson,Captain,AL0016,2012-12-13,Active,LIC-998194,APT00241
CRW000719,Dorothy,Park,Flight Attendant,AL0009,2019-04-30,On Leave,LIC-104477,APT00237
CRW000720,James,Choi,Flight Attendant,AL0019,2000-05-24,On Leave,LIC-537575,APT00088
CRW000721,Rebecca,Schmidt,Purser,AL0008,2001-11-04,Active,LIC-944171,APT00007
CRW000722,Justin,Martin,First Officer,AL0004,2024-07-27,Active,LIC-751919,APT00001
CRW000723,Rebecca,Roberts,Flight Attendant,AL0001,2008-03-14,Inactive,LIC-340094,APT00002
CRW000724,Sofia,Chen,Flight Attendant,AL0003,2022-11-12,Active,LIC-679410,APT00196
CRW000725,Maria,Tanaka,Flight Attendant,AL0009,2020-05-24,On Leave,LIC-293200,APT00185
CRW000726,Jack,Gonzalez,First Officer,AL0009,2005-08-02,Inactive,LIC-313538,APT00207
CRW000727,John,Ivanov,Captain,AL0018,2024-10-30,Inactive,LIC-920466,APT00035
CRW000728,Chen,Thomas,Captain,AL0003,2019-05-27,Active,LIC-142380,APT00015
CRW000729,Alexander,Rivera,Captain,AL0006,1999-01-05,Active,LIC-965975,APT00043
CRW000730,Melissa,Suzuki,Flight Attendant,AL0020,1997-12-31,Inactive,LIC-508019,APT00157
CRW000731,Stephen,Jones,Purser,AL0001,1998-12-24,Active,LIC-158279,APT00003
CRW000732,Jerry,Lopez,Flight Attendant,AL0009,2018-04-05,Active,LIC-808483,APT00166
CRW000733,Olga,Andersson,Flight Attendant,AL0004,1999-07-02,Active,LIC-143415,APT00223
CRW000734,Eric,Johnson,Flight Attendant,AL0011,2003-11-16,Active,LIC-392620,APT00037
CRW000735,Robert,Singh,First Officer,AL0020,2008-08-25,On Leave,LIC-316709,APT00185
CRW000736,Justin,Green,Purser,AL0005,1999-04-06,Active,LIC-805994,APT00139
CRW000737,Samantha,Ramirez,Purser,AL0008,2005-05-19,Active,LIC-457018,APT00237
CRW000738,Linda,Tanaka,Captain,AL0009,2016-04-22,Active,LIC-689320,APT00061
CRW000739,Jerry,Kowalski,Flight Attendant,AL0016,2025-07-16,On Leave,LIC-164950,APT00057
CRW000740,Matthew,Clark,Flight Attendant,AL0020,2009-10-05,Inactive,LIC-725986,APT00005
CRW000741,Ahmed,Smith,Purser,AL0002,2018-06-17,Active,LIC-739788,APT00177
CRW000742,Eric,Hernandez,Flight Attendant,AL0010,2011-08-28,On Leave,LIC-357166,APT00217
CRW000743,Joshua,Rodriguez,Flight Attendant,AL0016,2009-08-25,Active,LIC-893149,APT00005
CRW000744,Linda,Fernandez,Captain,AL0001,2011-05-10,On Leave,LIC-523042,APT00123
CRW000745,John,Mitchell,Flight Attendant,AL0017,2025-02-11,Active,LIC-700507,APT00182
CRW000746,Raymond,Singh,Flight Attendant,AL0005,1996-11-13,Active,LIC-263533,APT00196
CRW000747,Amanda,Jackson,Flight Attendant,AL0011,2011-02-17,Active,LIC-939550,APT00233
CRW000748,Priya,Novak,Flight Attendant,AL0020,1996-08-12,Active,LIC-321922,APT00181
CRW000749,Betty,Ali,Captain,AL0013,2022-06-28,On Leave,LIC-663501,APT00231
CRW000750,Liam,Schmidt,Flight Attendant,AL0020,2013-11-20,Active,LIC-180864,APT00249
CRW000751,Sofia,Nguyen,Flight Attendant,AL0013,1996-06-26,Active,LIC-140260,APT00232
CRW000752,Richard,Kumar,Purser,AL0005,2014-08-07,On Leave,LIC-214095,APT00110
CRW000753,Nicole,Baker,Flight Attendant,AL0014,2008-09-08,Inactive,LIC-948511,APT00102
CRW000754,Sofia,Walker,Flight Attendant,AL0013,1996-06-25,Active,LIC-289461,APT00107
CRW000755,Joshua,Mitchell,Captain,AL0007,2025-09-25,Active,LIC-891613,APT00238
CRW000756,William,Sanchez,First Officer,AL0002,2006-11-21,Active,LIC-622210,APT00071
CRW000757,Fatima,Oliveira,Flight Attendant,AL0013,1995-09-30,On Leave,LIC-179793,APT00189
CRW000758,Jeffrey,Ali,Flight Attendant,AL0012,2014-04-03,Active,LIC-497089,APT00157
CRW000759,Patricia,Muller,First Officer,AL0016,2006-10-16,Active,LIC-531342,APT00016
CRW000760,Priya,Ali,Purser,AL0003,2015-08-19,Active,LIC-340245,APT00122
CRW000761,Samantha,Scott,Flight Attendant,AL0011,2000-02-07,Active,LIC-643699,APT00049
CRW000762,William,Oliveira,Captain,AL0017,2021-01-08,On Leave,LIC-875000,APT00183
CRW000763,Ashley,Taylor,First Officer,AL0018,2008-03-12,Active,LIC-895358,APT00112
CRW000764,John,Rivera,Captain,AL0019,2008-03-20,On Leave,LIC-572632,APT00090
CRW000765,Carlos,Garcia,First Officer,AL0005,2020-04-02,Active,LIC-904156,APT00017
CRW000766,John,White,Flight Attendant,AL0004,2012-03-23,Inactive,LIC-930797,APT00033
CRW000767,Catherine,Rivera,Purser,AL0012,1995-01-16,On Leave,LIC-179224,APT00192
CRW000768,Kathleen,Flores,Flight Attendant,AL0010,2013-03-05,Active,LIC-671467,APT00216
CRW000769,Helen,Santos,Flight Attendant,AL0005,2015-04-17,Inactive,LIC-795952,APT00073
CRW000770,Maria,Roberts,Flight Attendant,AL0003,2004-10-20,Active,LIC-114208,APT00208
CRW000771,Mohammed,Allen,Flight Attendant,AL0003,2000-09-05,On Leave,LIC-643069,APT00139
CRW000772,Jessica,Wright,Flight Attendant,AL0007,1996-09-09,Active,LIC-922127,APT00088
CRW000773,John,Carter,Flight Attendant,AL0015,2021-08-02,Active,LIC-341396,APT00113
CRW000774,Joseph,Silva,Flight Attendant,AL0002,1995-02-18,Inactive,LIC-871716,APT00173
CRW000775,Samantha,Thompson,Captain,AL0003,2013-05-01,Active,LIC-940502,APT00228
CRW000776,Jonathan,Campbell,Flight Attendant,AL0006,2021-04-08,On Leave,LIC-671743,APT00124
CRW000777,David,Rivera,Captain,AL0018,2006-01-23,Inactive,LIC-666546,APT00087
CRW000778,Mark,Smith,Purser,AL0020,2001-04-16,Active,LIC-581295,APT00191
CRW000779,Nicholas,Park,First Officer,AL0009,2017-06-18,Active,LIC-468118,APT00132
CRW000780,Debra,Rivera,Flight Attendant,AL0001,2014-10-20,Inactive,LIC-507633,APT00098
CRW000781,Michelle,Martin,Flight Attendant,AL0001,1995-06-20,Active,LIC-570147,APT00115
CRW000782,Diego,Kim,Captain,AL0018,2013-02-16,Active,LIC-533956,APT00134
CRW000783,Freya,Singh,Flight Attendant,AL0009,1995-01-05,Inactive,LIC-843447,APT00036
CRW000784,Carolyn,Park,First Officer,AL0002,2007-07-22,Active,LIC-792297,APT00015
CRW000785,Jason,Williams,Captain,AL0017,2004-07-21,Active,LIC-412832,APT00167
CRW000786,Fatima,King,Purser,AL0011,2021-03-09,Active,LIC-561826,APT00044
CRW000787,Debra,Anderson,Flight Attendant,AL0007,2025-09-14,Active,LIC-293712,APT00133
CRW000788,Gary,Rivera,First Officer,AL0010,2016-12-10,Active,LIC-258422,APT00196
CRW000789,Rebecca,Green,Purser,AL0005,2018-01-27,Active,LIC-431962,APT00054
CRW000790,Heather,Nguyen,Flight Attendant,AL0019,1995-09-18,Inactive,LIC-152359,APT00096
CRW000791,Eric,Fernandez,Purser,AL0016,1997-01-04,Active,LIC-869131,APT00245
CRW000792,Nancy,Nelson,Flight Attendant,AL0004,2019-05-27,On Leave,LIC-213567,APT00009
CRW000793,Freya,Allen,Flight Attendant,AL0015,2008-06-14,Active,LIC-393894,APT00189
CRW000794,William,Garcia,Purser,AL0004,2010-12-05,On Leave,LIC-326296,APT00042
CRW000795,Katherine,White,Flight Attendant,AL0010,2016-09-27,Active,LIC-286149,APT00227
CRW000796,Brandon,Watanabe,Flight Attendant,AL0015,2005-11-26,Inactive,LIC-430960,APT00103
CRW000797,Stephen,Torres,Purser,AL0001,2016-06-03,Active,LIC-747332,APT00002
CRW000798,Michael,Yamamoto,Purser,AL0015,2017-11-02,On Leave,LIC-903173,APT00180
CRW000799,Cynthia,Nelson,First Officer,AL0005,2002-07-21,Inactive,LIC-269859,APT00037
CRW000800,Mohammed,Baker,Captain,AL0014,2016-07-21,Active,LIC-315178,APT00091
CRW000801,Mark,Wright,Captain,AL0010,2000-04-27,On Leave,LIC-522681,APT00126
CRW000802,Samuel,Hall,Purser,AL0001,2004-10-04,Active,LIC-387638,APT00187
CRW000803,Yuki,Garcia,Flight Attendant,AL0016,2019-07-06,Active,LIC-819993,APT00105
CRW000804,Carlos,Jones,First Officer,AL0006,2025-11-19,Active,LIC-300712,APT00215
CRW000805,Kathleen,Hill,First Officer,AL0020,1997-01-11,Inactive,LIC-462163,APT00121
CRW000806,Emily,Mitchell,First Officer,AL0017,2015-05-19,Inactive,LIC-591167,APT00086
CRW000807,Katherine,Hall,Flight Attendant,AL0004,2012-11-24,On Leave,LIC-443354,APT00085
CRW000808,Ryan,Wright,First Officer,AL0013,2014-01-12,Inactive,LIC-655377,APT00201
CRW000809,Pamela,White,First Officer,AL0008,2019-09-20,Inactive,LIC-819551,APT00167
CRW000810,Rachel,Khan,Captain,AL0013,1997-03-12,On Leave,LIC-578914,APT00032
CRW000811,Christine,Carter,First Officer,AL0012,2018-03-23,Active,LIC-511152,APT00188
CRW000812,Sandra,Brown,First Officer,AL0006,2003-10-11,Active,LIC-956670,APT00104
CRW000813,Alexander,Torres,Flight Attendant,AL0014,1999-11-06,Inactive,LIC-983596,APT00088
CRW000814,Shirley,Khan,Flight Attendant,AL0006,2009-01-16,Active,LIC-995839,APT00025
CRW000815,Noah,Dubois,Purser,AL0019,1995-11-07,Active,LIC-114799,APT00250
CRW000816,Emma,Thompson,Captain,AL0019,2014-10-24,Inactive,LIC-853655,APT00014
CRW000817,Mohammed,Park,Captain,AL0004,2012-10-03,Active,LIC-908852,APT00250
CRW000818,Dmitri,Chen,First Officer,AL0015,2011-02-09,Active,LIC-824765,APT00017
CRW000819,Freya,Scott,Purser,AL0019,1995-12-17,Active,LIC-774601,APT00127
CRW000820,Rachel,Kim,Flight Attendant,AL0003,2018-12-21,Active,LIC-429447,APT00027
CRW000821,Anna,Tanaka,First Officer,AL0015,1996-02-08,Active,LIC-753397,APT00124
CRW000822,Joseph,Jackson,Purser,AL0019,2003-04-01,Active,LIC-621804,APT00209
CRW000823,George,Gonzalez,First Officer,AL0005,2007-06-09,Active,LIC-848324,APT00148
CRW000824,Laura,Scott,Flight Attendant,AL0012,2017-01-22,Active,LIC-416324,APT00136
CRW000825,Janet,Miller,Flight Attendant,AL0016,2007-10-23,Active,LIC-768355,APT00030
CRW000826,Stephen,Johansson,Captain,AL0007,2020-08-27,On Leave,LIC-805919,APT00237
CRW000827,Edward,Pereira,Purser,AL0005,2024-05-10,Active,LIC-850476,APT00094
CRW000828,Sarah,Carter,Flight Attendant,AL0008,2019-01-13,Inactive,LIC-254647,APT00135
CRW000829,Christine,Fernandez,Flight Attendant,AL0007,1996-03-22,Active,LIC-877372,APT00225
CRW000830,Stephanie,Garcia,Flight Attendant,AL0015,2019-03-21,On Leave,LIC-295004,APT00158
CRW000831,Robert,Kim,Flight Attendant,AL0008,2001-06-24,Inactive,LIC-943373,APT00184
CRW000832,Paul,Scott,Flight Attendant,AL0008,2022-11-30,Active,LIC-134824,APT00047
CRW000833,Fatima,Thompson,Purser,AL0019,2025-09-30,On Leave,LIC-301240,APT00116
CRW000834,Joseph,Harris,Flight Attendant,AL0012,1997-08-23,Active,LIC-648045,APT00136
CRW000835,Timothy,Baker,First Officer,AL0019,1998-02-05,Active,LIC-589019,APT00044
CRW000836,Kathleen,Patel,Purser,AL0015,2016-11-26,Inactive,LIC-719683,APT00097
CRW000837,David,Wilson,Captain,AL0018,1999-07-03,Active,LIC-463206,APT00208
CRW000838,Karen,Roberts,Purser,AL0004,2025-06-07,Active,LIC-103026,APT00233
CRW000839,Sofia,Choi,Captain,AL0019,2011-12-22,Inactive,LIC-655912,APT00206
CRW000840,Stephen,Smith,First Officer,AL0019,2013-01-08,Active,LIC-559706,APT00234
CRW000841,Margaret,Suzuki,Purser,AL0001,2022-01-10,Active,LIC-557804,APT00250
CRW000842,Christopher,Carter,Flight Attendant,AL0008,2001-10-29,On Leave,LIC-439186,APT00050
CRW000843,Stephanie,Ramirez,Flight Attendant,AL0009,2012-06-17,On Leave,LIC-901466,APT00214
CRW000844,Gregory,Ivanov,Captain,AL0009,2026-05-18,Active,LIC-813141,APT00156
CRW000845,Debra,Roberts,Flight Attendant,AL0016,1995-09-11,On Leave,LIC-263094,APT00215
CRW000846,Lisa,Rossi,First Officer,AL0014,2000-06-27,Active,LIC-135001,APT00160
CRW000847,Debra,Miller,Flight Attendant,AL0005,1999-08-04,Active,LIC-263224,APT00032
CRW000848,Mohammed,Jones,Flight Attendant,AL0013,2005-07-17,Inactive,LIC-143709,APT00141
CRW000849,Betty,Patel,Flight Attendant,AL0020,1999-01-30,On Leave,LIC-738359,APT00191
CRW000850,Patricia,Harris,Captain,AL0009,2000-05-28,On Leave,LIC-658187,APT00032
CRW000851,Ana,Martin,Flight Attendant,AL0019,2021-10-15,On Leave,LIC-516687,APT00127
CRW000852,Gary,King,Captain,AL0013,2009-08-05,Active,LIC-632474,APT00164
CRW000853,Janet,Ivanov,Flight Attendant,AL0019,2006-04-01,Inactive,LIC-827507,APT00117
CRW000854,Joshua,Anderson,Flight Attendant,AL0019,2008-02-28,Active,LIC-847980,APT00200
CRW000855,Kimberly,Pereira,Purser,AL0001,2025-06-29,On Leave,LIC-491070,APT00032
CRW000856,Betty,King,Purser,AL0017,2010-06-07,Inactive,LIC-633039,APT00087
CRW000857,Anthony,Gonzalez,Captain,AL0004,2009-09-25,Active,LIC-619227,APT00238
CRW000858,Jeffrey,Garcia,Flight Attendant,AL0017,2024-02-26,On Leave,LIC-954432,APT00129
CRW000859,Richard,Novak,Flight Attendant,AL0017,1996-03-03,Active,LIC-785352,APT00046
CRW000860,Wei,Martinez,Flight Attendant,AL0006,2010-01-10,On Leave,LIC-382945,APT00030
CRW000861,Kathleen,King,Flight Attendant,AL0002,2018-07-04,Active,LIC-898247,APT00149
CRW000862,Ivan,Wang,Flight Attendant,AL0009,2011-03-03,Active,LIC-458128,APT00233
CRW000863,Jacob,Adams,Flight Attendant,AL0007,2022-04-11,On Leave,LIC-781959,APT00013
CRW000864,Andrew,Perez,Purser,AL0012,2022-11-09,Inactive,LIC-979906,APT00028
CRW000865,Kathleen,Rodriguez,Flight Attendant,AL0002,2005-07-25,Active,LIC-828038,APT00094
CRW000866,Charles,Khan,First Officer,AL0001,2020-09-09,Inactive,LIC-196771,APT00053
CRW000867,Jerry,Flores,Flight Attendant,AL0009,2002-08-31,Inactive,LIC-285131,APT00031
CRW000868,Gregory,Brown,Flight Attendant,AL0016,2002-07-13,Active,LIC-816313,APT00075
CRW000869,Sarah,Anderson,Purser,AL0007,2025-09-16,Inactive,LIC-211012,APT00161
CRW000870,Helen,Rivera,Flight Attendant,AL0007,1995-05-29,Active,LIC-110411,APT00207
CRW000871,Nicholas,Wilson,First Officer,AL0004,2006-02-04,On Leave,LIC-332280,APT00077
CRW000872,Matthew,Young,Flight Attendant,AL0006,2014-10-11,On Leave,LIC-537861,APT00176
CRW000873,Joseph,Martinez,Purser,AL0006,2007-12-29,Active,LIC-215573,APT00206
CRW000874,Carolyn,Silva,First Officer,AL0006,2021-07-17,Inactive,LIC-238061,APT00002
CRW000875,Ashley,Kim,Flight Attendant,AL0007,2002-11-26,Inactive,LIC-404992,APT00214
CRW000876,Gary,Dubois,Captain,AL0006,2012-05-14,On Leave,LIC-638974,APT00046
CRW000877,Sandra,Jones,Flight Attendant,AL0014,1998-12-07,Active,LIC-589988,APT00172
CRW000878,Brandon,Walker,First Officer,AL0007,2001-08-20,Inactive,LIC-818352,APT00188
CRW000879,Jennifer,Perez,First Officer,AL0016,2000-06-14,Active,LIC-982670,APT00212
CRW000880,Carol,Roberts,Captain,AL0013,2018-04-17,On Leave,LIC-129738,APT00101
CRW000881,Shirley,Andersson,Captain,AL0013,2001-05-15,Active,LIC-719465,APT00165
CRW000882,Edward,Jackson,Captain,AL0012,2016-01-13,Active,LIC-247395,APT00007
CRW000883,Brenda,Rossi,Flight Attendant,AL0019,2005-11-10,Inactive,LIC-424418,APT00112
CRW000884,Nancy,Campbell,Flight Attendant,AL0006,2012-10-01,Active,LIC-408349,APT00241
CRW000885,Rebecca,Andersson,Flight Attendant,AL0020,2022-06-15,Active,LIC-730665,APT00040
CRW000886,Alexander,Miller,Captain,AL0005,2022-02-14,Inactive,LIC-330218,APT00038
CRW000887,Kenneth,Diaz,Flight Attendant,AL0003,1995-05-09,Active,LIC-905129,APT00176
CRW000888,Charles,Wright,Flight Attendant,AL0017,2019-08-22,Active,LIC-444897,APT00128
CRW000889,Wei,Thompson,Flight Attendant,AL0018,2025-01-09,Active,LIC-833569,APT00114
CRW000890,Janet,Anderson,Flight Attendant,AL0002,2015-12-26,Active,LIC-956680,APT00063
CRW000891,Samantha,Fernandez,Purser,AL0012,2000-11-18,Active,LIC-559576,APT00043
CRW000892,Catherine,Suzuki,Purser,AL0011,2015-11-20,On Leave,LIC-191085,APT00185
CRW000893,Janet,Hernandez,Flight Attendant,AL0005,2014-12-26,Active,LIC-731268,APT00090
CRW000894,Rachel,Scott,Flight Attendant,AL0011,2015-10-21,Active,LIC-480953,APT00195
CRW000895,Kathleen,Ivanov,Flight Attendant,AL0014,2008-06-21,Active,LIC-404516,APT00111
CRW000896,John,Mitchell,Flight Attendant,AL0012,2011-07-02,Inactive,LIC-511381,APT00100
CRW000897,Anna,Thomas,Flight Attendant,AL0011,2015-06-25,Active,LIC-369811,APT00058
CRW000898,Steven,Lewis,First Officer,AL0018,2009-07-29,Active,LIC-352307,APT00165
CRW000899,Patrick,Robinson,Captain,AL0005,2019-04-21,On Leave,LIC-990683,APT00072
CRW000900,Jeffrey,White,Purser,AL0013,2017-04-17,Active,LIC-350655,APT00228
CRW000901,Olga,Oliveira,Flight Attendant,AL0007,2004-07-10,Inactive,LIC-512770,APT00103
CRW000902,Anna,Taylor,Flight Attendant,AL0020,2014-03-07,Active,LIC-743276,APT00204
CRW000903,Eric,Khan,First Officer,AL0006,2018-10-08,Inactive,LIC-298846,APT00118
CRW000904,Liam,Yamamoto,Flight Attendant,AL0018,2010-05-24,On Leave,LIC-656058,APT00104
CRW000905,Laura,Silva,Flight Attendant,AL0013,2017-06-18,Active,LIC-905966,APT00114
CRW000906,Amanda,Silva,Flight Attendant,AL0005,1998-12-24,On Leave,LIC-831548,APT00111
CRW000907,Brian,Gonzalez,Flight Attendant,AL0016,2007-02-19,On Leave,LIC-125709,APT00120
CRW000908,Fatima,Hernandez,Flight Attendant,AL0005,2017-01-19,Active,LIC-464565,APT00222
CRW000909,Alexander,Dubois,Flight Attendant,AL0006,2023-02-14,Active,LIC-100242,APT00176
CRW000910,Karen,Muller,Purser,AL0007,2015-04-18,Active,LIC-646039,APT00009
CRW000911,Cynthia,Muller,Purser,AL0014,2015-11-07,On Leave,LIC-392632,APT00015
CRW000912,Brian,King,Flight Attendant,AL0008,2005-10-02,Active,LIC-904228,APT00006
CRW000913,Nicole,Adams,First Officer,AL0012,2017-01-08,Active,LIC-257982,APT00173
CRW000914,Michael,Johnson,Flight Attendant,AL0012,2006-03-12,On Leave,LIC-866194,APT00052
CRW000915,Christine,White,Flight Attendant,AL0004,1996-08-20,Active,LIC-408065,APT00097
CRW000916,Rachel,Nelson,Flight Attendant,AL0005,2002-10-02,Inactive,LIC-928020,APT00207
CRW000917,Betty,Hernandez,Purser,AL0007,2014-03-15,Active,LIC-279630,APT00033
CRW000918,Charles,Hernandez,Flight Attendant,AL0005,2025-03-21,On Leave,LIC-342077,APT00039
CRW000919,Pamela,Brown,Captain,AL0019,2010-07-30,Active,LIC-415933,APT00020
CRW000920,Donald,Taylor,Flight Attendant,AL0008,2022-01-09,Active,LIC-986878,APT00072
CRW000921,Sofia,Diaz,Flight Attendant,AL0009,2019-06-11,Inactive,LIC-760544,APT00023
CRW000922,Janet,Kumar,Flight Attendant,AL0014,2012-08-17,On Leave,LIC-834750,APT00158
CRW000923,Carlos,Santos,Flight Attendant,AL0016,2020-04-08,Active,LIC-597617,APT00185
CRW000924,Nicholas,Lee,Purser,AL0014,2007-08-14,Active,LIC-815326,APT00047
CRW000925,Sofia,Mitchell,Captain,AL0012,2008-11-28,Inactive,LIC-664187,APT00132
CRW000926,Mary,Watanabe,Flight Attendant,AL0020,2018-02-24,Active,LIC-700820,APT00076
CRW000927,Paul,Lewis,Captain,AL0018,2015-01-27,Active,LIC-853497,APT00021
CRW000928,James,Chen,First Officer,AL0005,2011-07-31,Active,LIC-984940,APT00117
CRW000929,Samantha,Kumar,Flight Attendant,AL0004,2008-08-10,On Leave,LIC-618240,APT00175
